val,cana,periodo,fecha,fechaF,ctec,flag,nombre,idai,uuidai,ides
71.0,188,27,1708988400000,2024-02-27 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
69.0,188,28,1709074800000,2024-02-28 00:00:00,70,N,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
72.0,188,29,1709161200000,2024-02-29 00:00:00,70,N,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,1,1709247600000,2024-03-01 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,2,1709334000000,2024-03-02 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
70.0,188,3,1709420400000,2024-03-03 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,4,1709506800000,2024-03-04 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,5,1709593200000,2024-03-05 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,6,1709679600000,2024-03-06 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
72.0,188,7,1709766000000,2024-03-07 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,8,1709852400000,2024-03-08 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
72.0,188,9,1709938800000,2024-03-09 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
70.0,188,10,1710025200000,2024-03-10 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
72.0,188,11,1710111600000,2024-03-11 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,12,1710198000000,2024-03-12 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
71.0,188,13,1710284400000,2024-03-13 00:00:00,70,N,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
63.0,188,15,1710457200000,2024-03-15 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
65.0,188,16,1710543600000,2024-03-16 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
67.0,188,17,1710630000000,2024-03-17 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
59.0,188,18,1710716400000,2024-03-18 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
61.0,188,19,1710802800000,2024-03-19 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
59.0,188,20,1710889200000,2024-03-20 00:00:00,70,T,LAeq,113,e1df8045-e426-11ed-9103-005056986020,9
88.0,189,1,1704063600000,2024-01-01 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
86.0,189,2,1704150000000,2024-01-02 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
87.0,189,3,1704236400000,2024-01-03 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
86.0,189,4,1704322800000,2024-01-04 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
90.0,189,5,1704409200000,2024-01-05 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
